2026-07-10 12:42:55 ERROR   Encryption key file not found: C:\Learning & Development\aether_console\shared_networking\aether.key
2026-07-10 12:42:55 INFO    New encryption key generated: C:\Learning & Development\aether_console\shared_networking\aether.key
2026-07-10 12:42:55 INFO    Encryption key loaded from C:\Learning & Development\aether_console\shared_networking\aether.key
2026-07-10 12:42:55 INFO    [AUTH] Creating default credentials file
2026-07-10 12:42:56 INFO    [AUTH] Credentials saved to C:\Learning & Development\aether_console\shared_networking\credentials.json
2026-07-10 12:43:33 WARNING [AUTH] Login failed — unknown user: Medtech123
2026-07-10 12:44:28 INFO    [AUTH] Login successful: admin (role=admin)
2026-07-10 12:44:28 INFO    [AUTH] Session created for admin: 9cf7be39...
2026-07-10 14:44:01 INFO    Encryption key loaded from C:\Learning & Development\aether_console\shared_networking\aether.key
2026-07-10 14:44:01 INFO    [AUTH] Credentials loaded from C:\Learning & Development\aether_console\shared_networking\credentials.json
2026-07-10 14:44:23 INFO    [AUTH] Login successful: admin (role=admin)
2026-07-10 14:44:23 INFO    [AUTH] Session created for admin: 03b6f031...
2026-07-10 14:45:18 INFO    Encryption key loaded from C:\Learning & Development\aether_console\shared_networking\aether.key
2026-07-10 14:45:18 INFO    [AUTH] Credentials loaded from C:\Learning & Development\aether_console\shared_networking\credentials.json
2026-07-10 14:45:28 INFO    [AUTH] Login successful: admin (role=admin)
2026-07-10 14:45:28 INFO    [AUTH] Session created for admin: 8467e654...
2026-07-10 14:45:56 INFO    Encryption key loaded from C:\Learning & Development\aether_console\shared_networking\aether.key
2026-07-10 14:45:56 INFO    [AUTH] Credentials loaded from C:\Learning & Development\aether_console\shared_networking\credentials.json
2026-07-10 14:46:04 INFO    [AUTH] Login successful: admin (role=admin)
2026-07-10 14:46:04 INFO    [AUTH] Session created for admin: 6ee13163...
2026-07-10 14:51:09 INFO    [AUTH] Credentials loaded from C:\Learning & Development\aether_console\shared_networking\credentials.json
2026-07-10 14:51:09 INFO    Encryption key loaded from C:\Learning & Development\aether_console\shared_networking\aether.key
2026-07-10 14:51:09 INFO    [BROKER] Encryption enabled: Fernet (AES-128-CBC + HMAC-SHA256)
2026-07-10 14:51:09 INFO    [BROKER] Pub-Sub Broker started on 127.0.0.1:5000
2026-07-10 14:51:10 INFO    [BROKER] New connection from ('127.0.0.1', 55553)
2026-07-10 14:51:10 INFO    [AUTH] Session created for admin: 310c9e9b...
2026-07-10 14:51:10 INFO    [BROKER] Client trusted: surgeon_console (user=admin, role=admin)
2026-07-10 14:51:10 INFO    [BROKER] Handshake from 'surgeon_console' — pub=['patient_vitals'], sub=['robot_telemetry', 'connection_status', 'alerts', 'system_status']
2026-07-10 14:51:10 INFO    [BROKER] 'surgeon_console' subscribed to ['robot_telemetry', 'alerts', 'connection_status', 'system_status']
2026-07-10 14:51:10 INFO    [BROKER] New connection from ('127.0.0.1', 55546)
2026-07-10 14:51:10 INFO    [AUTH] Session created for admin: c62ec4db...
2026-07-10 14:51:10 INFO    [BROKER] Client trusted: robot_console (user=admin, role=admin)
2026-07-10 14:51:10 INFO    [BROKER] Handshake from 'robot_console' — pub=['robot_telemetry', 'alerts', 'connection_status'], sub=['patient_vitals']
2026-07-10 14:51:10 INFO    [BROKER] 'robot_console' subscribed to ['patient_vitals']
2026-07-10 14:51:10 INFO    [BROKER] New connection from ('127.0.0.1', 55554)
2026-07-10 14:51:10 INFO    [AUTH] Session created for admin: e0cddc9e...
